,x,y,stru_type,size
0,71.99463,23.036493,SC,0.925
1,-38.04128,15.632327,HCP,0.64
2,-45.627197,71.56705,HCP,0.21
3,-11.331404,6.5693955,HCP,0.8
4,42.06331,32.752834,FCC,0.855
5,39.95508,27.107952,FCC,0.825
6,19.155104,62.455517,BCC,0.415
7,-39.805893,22.382338,HCP,0.56
8,11.59901,4.0613604,HCP,0.96
9,-33.795193,43.925797,HCP,0.36
10,25.705994,36.328815,FCC,0.675
11,-23.542566,41.375706,HCP,0.36
12,-21.839556,116.471504,Octahedron,0.03
13,-56.498417,18.350115,HCP,0.6
14,4.660228,4.0144625,HCP,0.84
15,-52.6459,83.04005,HCP,0.16
16,-50.30159,52.429707,HCP,0.32
17,39.616028,27.293583,FCC,0.825
18,23.148762,10.587173,Decahedron,0.865
19,-5.143364,19.786077,HCP,0.64
20,-61.872307,91.17309,HCP,0.1
21,-60.679962,64.31678,HCP,0.27
22,-11.064862,68.594055,Decahedron,0.195
23,39.951317,14.599577,Decahedron,0.96
24,-53.309784,46.67774,HCP,0.36
25,-58.72776,42.81585,HCP,0.4
26,-8.560905,35.168274,Decahedron,0.425
27,-7.862192,25.935852,Decahedron,0.555
28,-64.64103,44.167503,HCP,0.4
29,-32.399677,75.88615,HCP,0.16
30,-32.0414,67.28676,HCP,0.2
31,-19.578947,85.770325,Decahedron,0.115
32,-31.310543,22.903585,HCP,0.56
33,-14.7839775,4.859655,HCP,0.81
34,-32.327793,76.06842,HCP,0.16
35,-22.688913,26.760172,HCP,0.5
36,-17.680738,-1.1871762,HCP,0.9
37,-23.002497,41.725876,HCP,0.36
38,-8.491126,82.72895,SC,0.125
39,-39.984528,89.151306,HCP,0.12
40,-5.058461,75.09984,SC,0.165
41,4.671477,63.545876,BCC,0.285
42,-11.573613,45.406487,Decahedron,0.375
43,-44.241734,46.663513,HCP,0.35
44,-60.44233,81.27521,HCP,0.18
45,-26.25667,32.51867,HCP,0.45
46,30.09097,13.11816,Decahedron,0.89
47,5.959165,61.738712,BCC,0.285
48,-43.157207,17.055414,HCP,0.63
49,-35.935604,69.89923,HCP,0.2
50,-20.17734,74.67163,Decahedron,0.155
51,-12.649026,78.12118,Decahedron,0.145
52,12.402116,7.7311506,HCP,0.8
53,3.121719,48.785183,SC,0.405
54,-19.331512,14.510345,HCP,0.7
